Identifiant de document,Reference document,1 Articles CGI,2 Articles CGI,3 Articles CGI,4 Articles CGI,5 Articles CGI,No disposition,Date mutation,Nature mutation,Valeur fonciere,No voie,B/T/Q,Type de voie,Code voie,Voie,Code postal,Commune,Code departement,Code commune,Prefixe de section,Section,No plan,No Volume,1er lot,Surface Carrez du 1er lot,2eme lot,Surface Carrez du 2eme lot,3eme lot,Surface Carrez du 3eme lot,4eme lot,Surface Carrez du 4eme lot,5eme lot,Surface Carrez du 5eme lot,Nombre de lots,Code type local,Type local,Identifiant local,Surface reelle bati,Nombre pieces principales,Nature culture,Nature culture speciale,Surface terrain,prix_m2
,,,,,,,1,10/01/2022,Vente,850600.0,14.0,,RUE,8810,TANESSE,33000.0,BORDEAUX,33,63,,DV,43,,,,,,,,,,,,0,2.0,Appartement,,36.0,2,S,,63.0,23627.777777777777
,,,,,,,1,10/01/2022,Vente,850600.0,14.0,,RUE,8810,TANESSE,33000.0,BORDEAUX,33,63,,DV,43,,,,,,,,,,,,0,2.0,Appartement,,26.0,1,S,,63.0,32715.384615384617
,,,,,,,1,07/01/2022,Vente,242000.0,28.0,,IMP,4990,LACROIX,33000.0,BORDEAUX,33,63,,LB,292,,2,"33,43",,,,,,,,,1,2.0,Appartement,,35.0,2,,,,6914.285714285715
,,,,,,,1,06/01/2022,Vente,297500.0,49.0,,RUE,0290,ANDRE MAGINOT CAUD,33200.0,BORDEAUX,33,63,,VO,11,,57,,,,,,,,,,1,2.0,Appartement,,65.0,3,,,,4576.923076923077
,,,,,,,1,06/01/2022,Vente,297500.0,49.0,,RUE,0290,ANDRE MAGINOT CAUD,33200.0,BORDEAUX,33,63,,VO,11,,25,,,,,,,,,,1,3.0,Dépendance,,0.0,0,,,,inf
,,,,,,,1,04/01/2022,Vente,40000.0,60.0,,RUE,5015,LAFAURIE MONBADON,33000.0,BORDEAUX,33,63,,KS,75,,30,,,,,,,,,,1,3.0,Dépendance,,0.0,0,,,,inf
,,,,,,,1,06/01/2022,Vente,530000.0,115.0,,RUE,7105,PELLEPORT,33800.0,BORDEAUX,33,63,,CV,98,,,,,,,,,,,,0,1.0,Maison,,92.0,4,S,,121.0,5760.869565217391
,,,,,,,1,05/01/2022,Vente,184000.0,97.0,,RUE,6140,MATHIEU,33000.0,BORDEAUX,33,63,,EW,15,,65,,,,,,,,,,1,3.0,Dépendance,,0.0,0,,,,inf
,,,,,,,1,05/01/2022,Vente,184000.0,97.0,,RUE,6140,MATHIEU,33000.0,BORDEAUX,33,63,,EW,15,,108,,,,,,,,,,1,2.0,Appartement,,49.0,2,,,,3755.1020408163267
,,,,,,,1,10/01/2022,Vente,12000.0,208.0,,RUE,3040,DE L ECOLE NORMALE CAUD,33200.0,BORDEAUX,33,63,,NT,14,,121,,,,,,,,,,1,3.0,Dépendance,,0.0,0,,,,inf
,,,,,,,1,11/01/2022,Vente,270000.0,8.0,,RUE,2305,DES CORDELIERS,33000.0,BORDEAUX,33,63,,DR,388,,34,,,,,,,,,,1,2.0,Appartement,,58.0,3,,,,4655.172413793103
,,,,,,,1,11/01/2022,Vente,270000.0,8.0,,RUE,2305,DES CORDELIERS,33000.0,BORDEAUX,33,63,,DR,388,,15,,,,,,,,,,1,3.0,Dépendance,,0.0,0,,,,inf
,,,,,,,1,05/01/2022,Vente,179000.0,46.0,T,RUE,5470,DE LEYBARDIE,33300.0,BORDEAUX,33,63,,RN,4,,505,,506,"55,45",,,,,,,2,2.0,Appartement,,56.0,3,,,,3196.4285714285716
,,,,,,,1,05/01/2022,Vente,179000.0,46.0,T,RUE,5470,DE LEYBARDIE,33300.0,BORDEAUX,33,63,,RN,4,,718,,,,,,,,,,1,3.0,Dépendance,,0.0,0,,,,inf
,,,,,,,1,05/01/2022,Vente,179000.0,46.0,T,RUE,5470,DE LEYBARDIE,33300.0,BORDEAUX,33,63,,RN,4,,505,,506,"55,45",,,,,,,2,3.0,Dépendance,,0.0,0,,,,inf
,,,,,,,1,05/01/2022,Vente,179000.0,46.0,T,RUE,5470,DE LEYBARDIE,33300.0,BORDEAUX,33,63,,RN,4,,505,,506,"55,45",,,,,,,2,3.0,Dépendance,,0.0,0,,,,inf
,,,,,,,1,13/01/2022,Vente,260000.0,40.0,,BD,0155,ALFRED DANEY,33300.0,BORDEAUX,33,63,,RM,136,,35,"66,89",,,,,,,,,1,2.0,Appartement,,66.0,3,,,,3939.3939393939395
,,,,,,,1,13/01/2022,Vente,260000.0,40.0,,BD,0155,ALFRED DANEY,33300.0,BORDEAUX,33,63,,RM,136,,53,,,,,,,,,,1,3.0,Dépendance,,0.0,0,,,,inf
,,,,,,,1,13/01/2022,Vente,260000.0,40.0,,BD,0155,ALFRED DANEY,33300.0,BORDEAUX,33,63,,RM,136,,35,"66,89",,,,,,,,,1,3.0,Dépendance,,0.0,0,,,,inf
,,,,,,,1,12/01/2022,Vente,405000.0,20.0,,RUE,0460,AUGUSTE BRUTAILS,33000.0,BORDEAUX,33,63,,PB,174,,,,,,,,,,,,0,1.0,Maison,,82.0,3,S,,44.0,4939.024390243902
,,,,,,,1,13/01/2022,Vente,110000.0,3.0,,RUE,6260,MAZARIN,33000.0,BORDEAUX,33,63,,DV,178,,5,,,,,,,,,,1,3.0,Dépendance,,0.0,0,,,,inf
,,,,,,,1,13/01/2022,Vente,110000.0,3.0,,RUE,6260,MAZARIN,33000.0,BORDEAUX,33,63,,DV,178,,2,,,,,,,,,,1,2.0,Appartement,,20.0,1,,,,5500.0
,,,,,,,1,07/01/2022,Vente,336493.0,15.0,,IMP,7305,PIERRE MELIN,33800.0,BORDEAUX,33,63,,CJ,112,,,,,,,,,,,,0,1.0,Maison,,62.0,2,S,,125.0,5427.306451612903
,,,,,,,1,13/01/2022,Vente,700000.0,146.0,,CRS,0570,BALGUERIE STUTTENBERG,33300.0,BORDEAUX,33,63,,RP,72,,,,,,,,,,,,0,1.0,Maison,,129.0,4,S,,175.0,5426.356589147287
,,,,,,,1,13/01/2022,Vente,700000.0,146.0,,CRS,0570,BALGUERIE STUTTENBERG,33300.0,BORDEAUX,33,63,,RP,72,,,,,,,,,,,,0,3.0,Dépendance,,0.0,0,S,,175.0,inf
,,,,,,,1,05/01/2022,Vente,550000.0,13.0,,RUE,1655,CASTILLON,33000.0,BORDEAUX,33,63,,KN,209,,11,,,,,,,,,,1,3.0,Dépendance,,0.0,0,,,,inf
,,,,,,,1,05/01/2022,Vente,550000.0,13.0,,RUE,1655,CASTILLON,33000.0,BORDEAUX,33,63,,KN,209,,2,,,,,,,,,,1,2.0,Appartement,,88.0,2,,,,6250.0
,,,,,,,1,03/01/2022,Vente,242085.0,108.0,B,CRS,8285,SAINT LOUIS,33300.0,BORDEAUX,33,63,,RO,55,,73,"68,90",,,,,,,,,1,2.0,Appartement,,68.0,3,,,,3560.073529411765
,,,,,,,1,03/01/2022,Vente,242085.0,108.0,B,CRS,8285,SAINT LOUIS,33300.0,BORDEAUX,33,63,,RO,55,,297,,,,,,,,,,1,3.0,Dépendance,,0.0,0,,,,inf
,,,,,,,1,07/01/2022,Vente,135000.0,12.0,,RUE,1635,CASSIGNOL,33000.0,BORDEAUX,33,63,,OX,156,,8,"22,97",,,,,,,,,1,2.0,Appartement,,23.0,1,,,,5869.565217391304
,,,,,,,1,11/01/2022,Vente,40000.0,89.0,,CRS,0120,D ALBRET,33000.0,BORDEAUX,33,63,,HK,52,,2,,,,,,,,,,1,3.0,Dépendance,,0.0,0,,,,inf
,,,,,,,1,10/01/2022,Vente,190500.0,22.0,,RUE,4644,J JACQUES ROUSSEAU CAUD,33200.0,BORDEAUX,33,63,,YE,90,,17,,23,"64,99",,,,,,,2,3.0,Dépendance,,0.0,0,,,,inf
,,,,,,,1,10/01/2022,Vente,190500.0,22.0,,RUE,4644,J JACQUES ROUSSEAU CAUD,33200.0,BORDEAUX,33,63,,YE,90,,17,,23,"64,99",,,,,,,2,2.0,Appartement,,64.0,4,,,,2976.5625
,,,,,,,1,07/01/2022,Vente,310000.0,43.0,,RUE,0550,DES BAHUTIERS,33000.0,BORDEAUX,33,63,,KI,169,,7,,,,,,,,,,1,2.0,Appartement,,52.0,2,,,,5961.538461538462
,,,,,,,1,07/01/2022,Vente,310000.0,43.0,,RUE,0550,DES BAHUTIERS,33000.0,BORDEAUX,33,63,,KI,169,,7,,,,,,,,,,1,3.0,Dépendance,,0.0,0,,,,inf
,,,,,,,1,11/01/2022,Vente,30000.0,134.0,,CRS,0365,DE L ARGONNE,33000.0,BORDEAUX,33,63,,EB,72,,34,,,,,,,,,,1,3.0,Dépendance,,0.0,0,,,,inf
,,,,,,,1,17/01/2022,Vente,226300.0,5.0,,RUE,9380,VILARIS,33800.0,BORDEAUX,33,63,,CU,85,,10,,,,,,,,,,1,2.0,Appartement,,44.0,2,,,,5143.181818181818
,,,,,,,1,17/01/2022,Vente,226300.0,5.0,,RUE,9380,VILARIS,33800.0,BORDEAUX,33,63,,CU,85,,39,,,,,,,,,,1,3.0,Dépendance,,0.0,0,,,,inf
,,,,,,,1,04/01/2022,Vente,355000.0,299.0,,RUE,6975,PASTEUR,33200.0,BORDEAUX,33,63,,VH,33,,29,,55,"93,55",,,,,,,2,3.0,Dépendance,,0.0,0,,,,inf
,,,,,,,1,04/01/2022,Vente,355000.0,299.0,,RUE,6975,PASTEUR,33200.0,BORDEAUX,33,63,,VH,33,,71,,,,,,,,,,1,3.0,Dépendance,,0.0,0,,,,inf
,,,,,,,1,04/01/2022,Vente,355000.0,299.0,,RUE,6975,PASTEUR,33200.0,BORDEAUX,33,63,,VH,33,,29,,55,"93,55",,,,,,,2,2.0,Appartement,,93.0,5,,,,3817.2043010752686
,,,,,,,1,14/01/2022,Vente,160000.0,49.0,,RUE,2206,COMMANDANT CHARCOT CAUD,33200.0,BORDEAUX,33,63,,YE,94,,62,"45,77",,,,,,,,,1,2.0,Appartement,,46.0,2,,,,3478.2608695652175
,,,,,,,1,14/01/2022,Vente,160000.0,49.0,,RUE,2206,COMMANDANT CHARCOT CAUD,33200.0,BORDEAUX,33,63,,YE,94,,235,,,,,,,,,,1,3.0,Dépendance,,0.0,0,,,,inf
,,,,,,,1,17/01/2022,Vente,33000.0,121.0,,RUE,7675,PRUNIER,33300.0,BORDEAUX,33,63,,RB,24,,831,,,,,,,,,,1,3.0,Dépendance,,0.0,0,,,,inf
,,,,,,,1,11/01/2022,Vente,157600.0,142.0,,RUE,4680,J RENAUD DANDICOLLE,33000.0,BORDEAUX,33,63,,HS,71,,,,,,,,,,,,0,1.0,Maison,,75.0,3,S,,96.0,2101.3333333333335
,,,,,,,1,13/01/2022,Vente,327600.0,33.0,,RUE,8570,SAUVAGEON,33300.0,BORDEAUX,33,63,,SH,11,,,,,,,,,,,,0,1.0,Maison,,90.0,3,S,,185.0,3640.0
,,,,,,,1,17/01/2022,Vente,560000.0,48.0,,RUE,7240,PEYRONNET,33800.0,BORDEAUX,33,63,,DI,55,,6,,,,,,,,,,1,3.0,Dépendance,,0.0,0,,,,inf
,,,,,,,1,17/01/2022,Vente,560000.0,48.0,,RUE,7240,PEYRONNET,33800.0,BORDEAUX,33,63,,DI,55,,19,,,,,,,,,,1,3.0,Dépendance,,0.0,0,,,,inf
,,,,,,,1,17/01/2022,Vente,560000.0,48.0,,RUE,7240,PEYRONNET,33800.0,BORDEAUX,33,63,,DI,55,,25,"96,92",,,,,,,,,1,2.0,Appartement,,112.0,2,,,,5000.0
,,,,,,,1,07/01/2022,Vente,540000.0,9.0,,RUE,6635,MURAT,33200.0,BORDEAUX,33,63,,VP,65,,,,,,,,,,,,0,3.0,Dépendance,,0.0,0,S,,362.0,inf
,,,,,,,1,07/01/2022,Vente,540000.0,9.0,,RUE,6635,MURAT,33200.0,BORDEAUX,33,63,,VP,65,,,,,,,,,,,,0,1.0,Maison,,115.0,4,S,,362.0,4695.652173913043
,,,,,,,1,11/01/2022,Vente,325000.0,109.0,,RUE,4810,JUDAIQUE,33000.0,BORDEAUX,33,63,,LA,158,,4,"52,58",,,,,,,,,1,2.0,Appartement,,40.0,3,,,,8125.0
,,,,,,,1,14/01/2022,Vente,307500.0,7.0,,RUE,6910,DU PANORAMA,33200.0,BORDEAUX,33,63,,OL,121,,,,,,,,,,,,0,1.0,Maison,,45.0,2,S,,65.0,6833.333333333333
,,,,,,,1,07/01/2022,Vente,599000.0,5.0,,RUE,1395,CALVE,33000.0,BORDEAUX,33,63,,LO,20,,2,,,,,,,,,,1,2.0,Appartement,,90.0,3,,,,6655.555555555556
,,,,,,,1,07/01/2022,Vente,599000.0,5.0,,RUE,1395,CALVE,33000.0,BORDEAUX,33,63,,LO,20,,2,,,,,,,,,,1,3.0,Dépendance,,0.0,0,,,,inf
,,,,,,,1,05/01/2022,Vente,35000.0,30.0,,RUE,2085,CLAUDE BERNARD CAUD,33200.0,BORDEAUX,33,63,,VD,255,,36,,,,,,,,,,1,3.0,Dépendance,,0.0,0,,,,inf
